Antiguedad,Dias_Ultima_Compra,Nivel_Satisfaccion,Distancia_Almacen,Numero_Dispositivos,Monto_Cashback,Queja,Es_Nuevo,Tiene_Queja,Alto_Riesgo,Satisfaccion_Baja,Target
15,7,3,29,4,143.32,0,0,0,0,0,0
7,7,1,25,4,129.29,0,0,0,0,0,0
27,7,1,13,3,168.54,0,0,0,0,0,0
20,3,3,25,4,230.27,0,0,0,0,0,0
30,8,4,15,4,322.17,0,0,0,0,0,0
7,11,2,16,4,152.81,0,0,0,0,0,0
1,2,5,15,6,149.51,0,0,0,0,0,0
1,1,5,11,4,154.73,0,0,0,0,0,1
11,4,3,12,4,137.02,0,0,0,0,0,0
17,2,1,7,3,157.43,1,0,0,0,0,0
6,3,3,26,6,221.1,0,0,0,0,0,0
16,1,5,20,2,180.38,0,0,0,0,0,0
1,3,3,7,4,154.09,0,0,0,0,0,1
1,3,3,7,5,231.09,0,0,0,0,0,1
6,2,5,14,3,163.92,0,0,0,0,0,0
10,1,3,8,4,193.15,0,0,0,0,0,0
9,3,1,21,5,121.68,1,0,0,0,0,0
8,6,2,22,4,204.78,0,0,0,0,0,1
19,11,1,27,4,259.96,1,0,0,0,0,0
0,0,4,18,1,127.16,0,0,0,0,0,1
1,2,5,33,5,191.96,0,0,0,0,0,1
3,2,3,22,3,153.01,0,0,0,0,0,0
30,0,5,9,1,126.7,1,0,0,0,0,0
5,7,1,14,3,189.98,0,0,0,0,0,0
9,14,4,12,4,205.95,0,0,0,0,0,0
18,1,3,26,3,148.5,0,0,0,0,0,0
16,9,3,17,3,175.1,0,0,0,0,0,0
0,3,3,14,1,124.32,1,0,0,0,0,1
7,6,5,6,4,204.82,0,0,0,0,0,1
1,3,5,17,5,228.06,0,0,0,0,0,1
12,7,1,6,1,196.13,0,0,0,0,0,0
30,4,4,11,4,205.52,1,0,0,0,0,0
11,9,1,17,2,262.44,1,0,0,0,0,0
0,1,4,14,4,125.46,0,0,0,0,0,1
0,3,1,14,4,123.67,0,0,0,0,0,1
0,0,5,14,3,123.22,0,0,0,0,0,0
24,6,3,31,4,264.73,1,0,0,0,0,0
9,2,5,6,4,122.18,0,0,0,0,0,0
0,3,5,9,3,141.94,1,0,0,0,0,0
1,3,1,7,4,172.87,1,0,0,0,0,1
4,2,1,18,3,139.29,1,0,0,0,0,0
18,4,3,7,4,207.48,0,0,0,0,0,0
15,8,5,7,2,208.92,0,0,0,0,0,0
17,1,5,21,4,296.59,0,0,0,0,0,0
9,0,3,7,4,120.08,0,0,0,0,0,0
4,8,3,15,4,197.64,0,0,0,0,0,0
5,3,1,9,4,151.95,1,0,0,0,0,0
11,1,1,17,2,171.8,0,0,0,0,0,0
24,8,5,6,4,174.84,0,0,0,0,0,0
0,7,3,6,3,152.96,0,0,0,0,0,0
3,7,1,6,3,140.11,0,0,0,0,0,0
61,1,1,28,4,303.75,1,0,0,0,0,0
16,3,1,9,4,226.24,1,0,0,0,0,0
25,4,2,10,3,265.55,0,0,0,0,0,0
9,2,5,22,4,156.47,0,0,0,0,0,0
8,2,1,8,4,179.84,0,0,0,0,0,0
8,1,3,33,5,145.29,0,0,0,0,0,0
0,3,4,14,4,123.68,0,0,0,0,0,0
17,10,4,19,5,268.36,0,0,0,0,0,0
8,8,1,26,5,154.29,0,0,0,0,0,0
3,7,1,14,3,125.64,0,0,0,0,0,0
0,4,3,8,3,144.78,1,0,0,0,0,0
4,3,3,32,3,129.11,0,0,0,0,0,0
1,3,5,10,4,165.31,0,0,0,0,0,1
1,1,1,16,4,135.81,0,0,0,0,0,1
1,1,1,31,6,148.4,1,0,0,0,0,1
0,1,2,16,3,149.5,0,0,0,0,0,0
1,7,3,16,3,136.6,0,0,0,0,0,0
13,12,3,21,4,204.35,0,0,0,0,0,0
5,3,3,12,4,208.46,0,0,0,0,0,0
1,1,5,11,4,154.73,0,0,0,0,0,1
0,3,3,14,3,125.17,0,0,0,0,0,0
15,3,3,13,4,217.41,0,0,0,0,0,0
24,3,4,14,4,224.9,0,0,0,0,0,0
8,3,4,16,5,211.21,0,0,0,0,0,0
14,4,4,14,3,143.93,0,0,0,0,0,0
5,7,1,15,5,146.68,0,0,0,0,0,0
9,2,3,11,4,167.49,1,0,0,0,0,0
1,2,2,31,4,149,0,0,0,0,0,0
0,4,4,6,3,163.49,1,0,0,0,0,0
7,2,5,8,3,145.38,1,0,0,0,0,0
6,4,4,12,4,190.24,0,0,0,0,0,0
1,1,1,10,4,140.69,1,0,0,0,0,1
9,8,2,18,4,188.58,0,0,0,0,0,0
8,3,1,11,4,222.13,1,0,0,0,0,0
9,2,1,6,3,122.7,0,0,0,0,0,0
11,2,4,22,3,141.98,0,0,0,0,0,0
4,5,1,10,4,145.97,0,0,0,0,0,0
25,1,4,10,4,262.34,0,0,0,0,0,0
2,3,4,19,4,140.25,1,0,0,0,0,0
30,3,2,6,3,219.04,1,0,0,0,0,0
18,3,3,10,5,197.56,0,0,0,0,0,0
19,2,4,32,4,179.91,0,0,0,0,0,0
9,3,1,15,3,120.75,0,0,0,0,0,0
8,7,5,23,3,189.66,1,0,0,0,0,0
0,0,5,30,1,110.91,0,0,0,0,0,1
8,7,1,32,3,188.37,1,0,0,0,0,0
4,8,5,15,2,239.16,1,0,0,0,0,0
0,8,3,35,4,145.08,0,0,0,0,0,1
2,9,5,23,4,179.88,0,0,0,0,0,0
4,0,1,8,5,127.78,1,0,0,0,0,1
19,3,4,21,3,290.81,0,0,0,0,0,0
19,8,3,14,3,123.39,0,0,0,0,0,1
14,3,1,7,6,199.57,1,0,0,0,0,0
15,9,5,9,4,290.95,0,0,0,0,0,0
5,3,4,11,3,165.24,0,0,0,0,0,0
1,8,5,14,2,160.78,0,0,0,0,0,0
8,0,3,14,3,124.04,0,0,0,0,0,0
21,1,3,11,4,154.76,0,0,0,0,0,0
1,3,3,7,5,153,1,0,0,0,0,1
24,7,3,12,4,128.38,0,0,0,0,0,0
14,10,1,16,3,162.3,0,0,0,0,0,0
13,0,1,14,3,124.06,0,0,0,0,0,0
0,3,3,10,3,141.62,1,0,0,0,0,0
21,14,3,10,4,262.7,1,0,0,0,0,0
29,5,1,9,5,151.62,0,0,0,0,0,0
7,0,5,14,3,151.21,0,0,0,0,0,0
14,1,5,15,4,190.16,1,0,0,0,0,0
5,1,1,9,6,152.78,1,0,0,0,0,1
5,3,3,14,5,148.29,0,0,0,0,0,0
2,5,2,15,5,174.36,0,0,0,0,0,0
3,9,2,7,6,152.2,0,0,0,0,0,0
0,2,1,12,3,56,1,0,0,0,0,0
11,7,4,20,3,199.24,0,0,0,0,0,0
6,5,3,6,1,261.84,0,0,0,0,0,0
2,5,1,15,5,174.36,0,0,0,0,0,0
1,3,4,9,4,146.87,0,0,0,0,0,0
14,7,3,15,3,181.89,1,0,0,0,0,0
1,1,1,10,4,140.69,1,0,0,0,0,1
3,3,2,11,4,137.61,0,0,0,0,0,0
26,3,2,9,5,157.12,0,0,0,0,0,0
1,3,5,20,5,186.34,1,0,0,0,0,1
5,0,1,16,3,146.48,0,0,0,0,0,0
13,0,5,14,3,165.16,1,0,0,0,0,0
4,5,2,8,3,165.82,1,0,0,0,0,0
0,1,2,14,3,124,0,0,0,0,0,0
1,3,4,32,5,148.13,1,0,0,0,0,1
30,3,5,11,4,324.43,0,0,0,0,0,0
0,2,3,26,5,145.59,1,0,0,0,0,1
9,0,3,8,4,120.9,1,0,0,0,0,1
17,3,2,11,5,227.31,0,0,0,0,0,0
26,5,5,15,4,154.5,0,0,0,0,0,0
5,2,3,25,1,127.59,1,0,0,0,0,1
0,2,3,14,4,125.39,0,0,0,0,0,0
19,7,5,6,3,204.53,0,0,0,0,0,0
8,2,5,14,4,124.5,0,0,0,0,0,0
9,5,3,12,3,123.06,1,0,0,0,0,0
9,0,1,9,3,117.06,0,0,0,0,0,0
1,1,5,20,5,148.35,1,0,0,0,0,1
9,1,2,13,3,146.78,0,0,0,0,0,0
1,8,3,10,4,165.84,0,0,0,0,0,1
8,3,3,11,4,190.38,0,0,0,0,0,0
26,3,3,7,4,229.65,1,0,0,0,0,0
2,3,3,16,4,148.77,0,0,0,0,0,0
9,4,3,22,3,121.44,0,0,0,0,0,0
4,10,3,14,4,159.91,0,0,0,0,0,0
16,1,2,30,4,284.92,0,0,0,0,0,0
1,3,4,12,4,149.78,1,0,0,0,0,0
9,1,3,23,4,201.32,1,0,0,0,0,0
2,10,1,26,3,138.12,0,0,0,0,0,0
10,7,4,14,3,140.71,0,0,0,0,0,0
1,1,3,14,5,186.32,0,0,0,0,0,0
23,0,1,14,3,123.8,0,0,0,0,0,0
21,3,4,9,2,284.72,0,0,0,0,0,0
26,3,1,13,4,209.34,1,0,0,0,0,0
11,2,3,16,3,160.77,0,0,0,0,0,0
31,6,1,10,5,176.71,0,0,0,0,0,0
14,3,5,12,5,229.75,1,0,0,0,0,0
4,7,5,11,3,199.36,0,0,0,0,0,0
17,17,5,34,3,263.28,0,0,0,0,0,0
7,2,3,10,3,165.38,0,0,0,0,0,0
20,8,4,8,3,292.46,1,0,0,0,0,1
8,12,1,29,5,182.47,1,0,0,0,0,0
1,3,4,16,6,152.6,0,0,0,0,0,1
17,3,5,31,4,229.48,1,0,0,0,0,1
27,6,3,13,4,148.06,1,0,0,0,0,0
16,3,2,7,5,185.62,1,0,0,0,0,0
16,3,1,9,4,165.89,0,0,0,0,0,0
9,0,3,13,3,112.74,0,0,0,0,0,0
10,3,3,33,4,178.47,0,0,0,0,0,0
10,4,1,30,2,150.71,0,0,0,0,0,0
3,30,5,11,3,132.04,0,0,0,0,0,0
0,2,3,24,1,162.32,0,0,0,0,0,0
12,7,5,16,3,153.77,0,0,0,0,0,0
6,1,1,17,4,171.48,0,0,0,0,0,0
11,2,5,18,4,162.88,0,0,0,0,0,0
6,3,4,7,5,147.69,0,0,0,0,0,0
4,3,5,6,3,141.48,0,0,0,0,0,0
17,9,1,9,4,160.39,0,0,0,0,0,0
7,5,2,21,3,179.78,0,0,0,0,0,1
8,3,5,15,4,190,0,0,0,0,0,0
15,8,3,9,5,193.11,1,0,0,0,0,0
31,4,2,9,5,262.26,1,0,0,0,0,0
16,0,4,14,3,147.65,0,0,0,0,0,0
18,1,3,26,3,148.5,0,0,0,0,0,0
3,1,1,12,4,145.86,0,0,0,0,0,1
11,3,5,7,5,164.2,0,0,0,0,0,0
0,2,3,5,4,130.33,0,0,0,0,0,0
20,3,1,9,4,210.78,0,0,0,0,0,0
11,4,3,11,4,154.96,1,0,0,0,0,0
0,0,5,22,3,185.64,1,0,0,0,0,1
10,1,1,13,2,155.38,0,0,0,0,0,0
1,3,3,22,4,151.1,0,0,0,0,0,1
9,3,5,24,4,214.66,1,0,0,0,0,0
1,7,1,6,4,168.34,1,0,0,0,0,0
9,8,1,9,4,182.62,0,0,0,0,0,0
2,1,4,10,4,153.56,0,0,0,0,0,0
30,3,5,15,4,167.57,1,0,0,0,0,0
12,3,4,23,4,166.98,0,0,0,0,0,0
8,0,3,22,3,176.32,1,0,0,0,0,0
22,11,5,26,3,165.67,0,0,0,0,0,0
